feature,importance_weight,importance_gain,importance_cover
dest_h3_r8,969,460.92595763791508,630455.39318885445
origin_h3_r8,848,412.93422138820949,589578.158018868
hour,794,548.08024308493725,864247.62594458438
euclidean_dist_m,653,69140.236332880755,4291975.637059724
dist_ratio,440,5012.176049221287,1069779.575
is_member,335,6468.8475044420557,1571454.2179104479
actual_temp,317,722.88730704063107,1291346.1671924291
is_ebike,249,6431.3720058986755,2200291.751004016
is_weekend,172,433.14327343697664,1293588.0697674418
month,129,307.07236697914726,1229123.2790697673
od_encoded,83,375.22845700072281,103572.32530120482
mins_since_rain,30,144.56449410800005,787064.23333333328
snow_depth,16,106.28039361624998,842754.25
windspeed,14,51.545623797142852,143780.64285714287
is_holiday,12,361.00618213333337,2311542.0833333335
is_rush_hour,11,55.318950330000007,103485.81818181818
snowfall,11,35.276777786363638,163757
precip_last_3h,9,180.05478476777776,2663092.3333333335
precipitation_mm,8,41.217838926249996,264939.875
