date,name,year,holiday_type
2025-01-01,New Year's Day,2025,federal
2025-01-20,Martin Luther King Jr. Day,2025,federal
2025-02-12,Lincoln's Birthday,2025,state
2025-02-15,Susan B. Anthony Day,2025,state
2025-02-17,Washington's Birthday,2025,federal
2025-05-26,Memorial Day,2025,federal
2025-06-19,Juneteenth National Independence Day,2025,federal
2025-07-04,Independence Day,2025,federal
2025-09-01,Labor Day,2025,federal
2025-10-13,Columbus Day,2025,federal
2025-11-04,Election Day,2025,state
2025-11-11,Veterans Day,2025,federal
2025-11-27,Thanksgiving Day,2025,federal
2025-12-25,Christmas Day,2025,federal
2026-01-01,New Year's Day,2026,federal
2026-01-19,Martin Luther King Jr. Day,2026,federal
2026-02-12,Lincoln's Birthday,2026,state
2026-02-15,Susan B. Anthony Day,2026,state
2026-02-16,Washington's Birthday,2026,federal
2026-05-25,Memorial Day,2026,federal
2026-06-19,Juneteenth National Independence Day,2026,federal
2026-07-03,Independence Day (observed),2026,federal
2026-07-04,Independence Day,2026,federal
2026-09-07,Labor Day,2026,federal
2026-10-12,Columbus Day,2026,federal
2026-11-03,Election Day,2026,state
2026-11-11,Veterans Day,2026,federal
2026-11-26,Thanksgiving Day,2026,federal
2026-12-25,Christmas Day,2026,federal
